"annotation_id","annotator","created_at","id","label","lead_time","text","updated_at"
17,"1","2025-06-26T07:17:02.820762Z",11,"[{""start"":18,""end"":24,""text"":""500.00"",""labels"":[""AMOUNT""]},{""start"":13,""end"":17,""text"":"" AED"",""labels"":[""CURRENCY""]},{""start"":98,""end"":101,""text"":""AED"",""labels"":[""CURRENCY""]},{""start"":29,""end"":38,""text"":""credited "",""labels"":[""CREDIT_OR_DEBIT""]},{""start"":54,""end"":62,""text"":""****0535"",""labels"":[""ACCOUNT_NUMBER""]},{""start"":102,""end"":108,""text"":""509.00"",""labels"":[""BALANCE""]}]",17.79,"Dear Customer AED 500.00 was credited to your account ****0535. Your available account balance is AED 509.00","2025-06-26T07:17:02.820790Z"
18,"1","2025-06-26T07:17:29.944869Z",12,"[{""start"":18,""end"":26,""text"":""10000.00"",""labels"":[""AMOUNT""]},{""start"":14,""end"":17,""text"":""AED"",""labels"":[""CURRENCY""]},{""start"":97,""end"":100,""text"":""AED"",""labels"":[""CURRENCY""]},{""start"":56,""end"":62,""text"":"" *535."",""labels"":[""ACCOUNT_NUMBER""]},{""start"":31,""end"":38,""text"":""debited"",""labels"":[""CREDIT_OR_DEBIT""]},{""start"":101,""end"":108,""text"":""6034.31"",""labels"":[""BALANCE""]}]",25.082,"Dear Customer AED 10000.00 was debited from your account *535. Your available account balance is AED 6034.31","2025-06-26T07:17:29.944889Z"
19,"1","2025-06-26T07:18:01.686236Z",13,"[{""start"":19,""end"":24,""text"":""38.00"",""labels"":[""AMOUNT""]},{""start"":15,""end"":18,""text"":""AED"",""labels"":[""CURRENCY""]},{""start"":104,""end"":107,""text"":""AED"",""labels"":[""CURRENCY""]},{""start"":25,""end"":33,""text"":""debited "",""labels"":[""CREDIT_OR_DEBIT""]},{""start"":47,""end"":55,""text"":""****0535"",""labels"":[""ACCOUNT_NUMBER""]},{""start"":108,""end"":114,""text"":""532.90"",""labels"":[""BALANCE""]},{""start"":59,""end"":91,""text"":""GULF FILM LLC -791101 DUBAI AE"",""labels"":[""LOCATION""]}]",29.183,"Transaction of AED 38.00 debited from your a/c ****0535 at GULF FILM LLC   -791101 DUBAI AE. Avl Bal is AED 532.90","2025-06-26T07:18:01.686257Z"
20,"1","2025-06-26T07:18:23.321452Z",14,"[{""start"":18,""end"":23,""text"":""13.00"",""labels"":[""AMOUNT""]},{""start"":14,""end"":17,""text"":""AED"",""labels"":[""CURRENCY""]},{""start"":97,""end"":100,""text"":""AED"",""labels"":[""CURRENCY""]},{""start"":28,""end"":37,""text"":""credited "",""labels"":[""CREDIT_OR_DEBIT""]},{""start"":53,""end"":61,""text"":""****0535"",""labels"":[""ACCOUNT_NUMBER""]},{""start"":101,""end"":107,""text"":""347.20"",""labels"":[""BALANCE""]}]",19.849,"Dear Customer AED 13.00 was credited to your account ****0535. Your available account balance is AED 347.20","2025-06-26T07:18:23.321476Z"
21,"1","2025-06-26T07:18:56.437367Z",15,"[{""start"":19,""end"":24,""text"":""16.75"",""labels"":[""AMOUNT""]},{""start"":14,""end"":18,""text"":"" AED"",""labels"":[""CURRENCY""]},{""start"":107,""end"":110,""text"":""AED"",""labels"":[""CURRENCY""]},{""start"":25,""end"":33,""text"":""debited "",""labels"":[""CREDIT_OR_DEBIT""]},{""start"":47,""end"":55,""text"":""****0535"",""labels"":[""ACCOUNT_NUMBER""]},{""start"":59,""end"":94,""text"":""PARAKANDY ABDUL MAJEED ABU DHABI AE"",""labels"":[""LOCATION""]},{""start"":110,""end"":116,""text"":""75.80"",""labels"":[""BALANCE""]}]",29.91,"Transaction of AED 16.75 debited from your a/c ****0535 at PARAKANDY ABDUL MAJEED ABU DHABI AE. Avl Bal is AED 75.80","2025-06-26T07:18:56.437392Z"
22,"1","2025-06-26T07:19:23.761091Z",16,"[{""start"":18,""end"":24,""text"":""100.00"",""labels"":[""AMOUNT""]},{""start"":29,""end"":36,""text"":""debited"",""labels"":[""CREDIT_OR_DEBIT""]},{""start"":14,""end"":17,""text"":""AED"",""labels"":[""CURRENCY""]},{""start"":99,""end"":102,""text"":""AED"",""labels"":[""CURRENCY""]},{""start"":55,""end"":63,""text"":""****0535"",""labels"":[""ACCOUNT_NUMBER""]},{""start"":103,""end"":107,""text"":""8.18"",""labels"":[""BALANCE""]}]",22.154,"Dear Customer AED 100.00 was debited from your account ****0535. Your available account balance is AED 8.18","2025-06-26T07:19:23.761116Z"
23,"1","2025-06-26T07:19:47.264093Z",17,"[{""start"":18,""end"":25,""text"":""150.00 "",""labels"":[""AMOUNT""]},{""start"":14,""end"":18,""text"":""AED "",""labels"":[""CURRENCY""]},{""start"":29,""end"":38,""text"":""credited "",""labels"":[""CREDIT_OR_DEBIT""]},{""start"":54,""end"":62,""text"":""****0535"",""labels"":[""ACCOUNT_NUMBER""]},{""start"":102,""end"":108,""text"":""205.39"",""labels"":[""BALANCE""]},{""start"":98,""end"":101,""text"":""AED"",""labels"":[""CURRENCY""]}]",19.463,"Dear Customer AED 150.00 was credited to your account ****0535. Your available account balance is AED 205.39","2025-06-26T07:19:47.264120Z"
24,"1","2025-06-26T07:20:10.119395Z",18,"[{""start"":18,""end"":24,""text"":""300.00"",""labels"":[""AMOUNT""]},{""start"":13,""end"":17,""text"":"" AED"",""labels"":[""CURRENCY""]},{""start"":98,""end"":101,""text"":""AED"",""labels"":[""CURRENCY""]},{""start"":102,""end"":108,""text"":""401.82"",""labels"":[""BALANCE""]},{""start"":54,""end"":62,""text"":""****0535"",""labels"":[""ACCOUNT_NUMBER""]},{""start"":29,""end"":37,""text"":""credited"",""labels"":[""CREDIT_OR_DEBIT""]}]",21.081,"Dear Customer AED 300.00 was credited to your account ****0535. Your available account balance is AED 401.82","2025-06-26T07:20:10.119410Z"
25,"1","2025-06-26T07:20:38.295868Z",19,"[{""start"":19,""end"":24,""text"":""30.00"",""labels"":[""AMOUNT""]},{""start"":15,""end"":18,""text"":""AED"",""labels"":[""CURRENCY""]},{""start"":106,""end"":109,""text"":""AED"",""labels"":[""CURRENCY""]},{""start"":25,""end"":32,""text"":""debited"",""labels"":[""CREDIT_OR_DEBIT""]},{""start"":47,""end"":55,""text"":""****0535"",""labels"":[""ACCOUNT_NUMBER""]},{""start"":59,""end"":93,""text"":""ADNOC AL MAFRAQ S-171 ABU DHABI AE"",""labels"":[""LOCATION""]},{""start"":109,""end"":115,""text"":""11.67"",""labels"":[""BALANCE""]}]",26.497,"Transaction of AED 30.00 debited from your a/c ****0535 at ADNOC AL MAFRAQ S-171 ABU DHABI AE. Avl Bal is AED 11.67","2025-06-26T07:20:38.295888Z"
26,"1","2025-06-26T07:20:55.644982Z",20,"[{""start"":18,""end"":24,""text"":""200.00"",""labels"":[""AMOUNT""]},{""start"":13,""end"":17,""text"":"" AED"",""labels"":[""CURRENCY""]},{""start"":93,""end"":98,""text"":"" AED "",""labels"":[""CURRENCY""]},{""start"":28,""end"":37,""text"":"" credited"",""labels"":[""CREDIT_OR_DEBIT""]},{""start"":54,""end"":58,""text"":""*535"",""labels"":[""ACCOUNT_NUMBER""]},{""start"":98,""end"":104,""text"":""218.64"",""labels"":[""BALANCE""]}]",15.431,"Dear Customer AED 200.00 was credited to your account *535. Your available account balance is AED 218.64","2025-06-26T07:20:55.644992Z"
27,"1","2025-06-26T07:21:41.193091Z",21,"[{""start"":18,""end"":22,""text"":""1.45"",""labels"":[""AMOUNT""]},{""start"":14,""end"":17,""text"":""AED"",""labels"":[""CURRENCY""]},{""start"":92,""end"":95,""text"":""AED"",""labels"":[""CURRENCY""]},{""start"":27,""end"":35,""text"":""credited"",""labels"":[""CREDIT_OR_DEBIT""]},{""start"":52,""end"":56,""text"":""*535"",""labels"":[""ACCOUNT_NUMBER""]},{""start"":96,""end"":102,""text"":""121.32"",""labels"":[""BALANCE""]}]",35.967,"Dear Customer AED 1.45 was credited to your account *535. Your available account balance is AED 121.32","2025-06-26T07:21:41.193111Z"
28,"1","2025-06-26T07:22:06.166132Z",22,"[{""start"":18,""end"":23,""text"":""23.32"",""labels"":[""AMOUNT""]},{""start"":14,""end"":17,""text"":""AED"",""labels"":[""CURRENCY""]},{""start"":28,""end"":35,""text"":""debited"",""labels"":[""CREDIT_OR_DEBIT""]},{""start"":53,""end"":62,""text"":"" ****0535"",""labels"":[""ACCOUNT_NUMBER""]},{""start"":102,""end"":106,""text"":""0.50"",""labels"":[""BALANCE""]},{""start"":98,""end"":101,""text"":""AED"",""labels"":[""CURRENCY""]}]",23.281,"Dear Customer AED 23.32 was debited from your account ****0535. Your available account balance is AED 0.50","2025-06-26T07:22:06.166158Z"
29,"1","2025-06-26T07:22:33.459888Z",23,"[{""start"":19,""end"":25,""text"":""17.75 "",""labels"":[""AMOUNT""]},{""start"":15,""end"":18,""text"":""AED"",""labels"":[""CURRENCY""]},{""start"":105,""end"":108,""text"":""AED"",""labels"":[""CURRENCY""]},{""start"":25,""end"":32,""text"":""debited"",""labels"":[""CREDIT_OR_DEBIT""]},{""start"":47,""end"":55,""text"":""****0535"",""labels"":[""ACCOUNT_NUMBER""]},{""start"":59,""end"":92,""text"":""STARBUCKS-ADNOC-D843 ABU DHABI AE"",""labels"":[""LOCATION""]},{""start"":108,""end"":114,""text"":""24.43"",""labels"":[""BALANCE""]}]",24.655,"Transaction of AED 17.75 debited from your a/c ****0535 at STARBUCKS-ADNOC-D843 ABU DHABI AE. Avl Bal is AED 24.43","2025-06-26T07:22:33.459912Z"
30,"1","2025-06-26T07:23:00.369811Z",24,"[{""start"":18,""end"":25,""text"":""4100.00"",""labels"":[""AMOUNT""]},{""start"":14,""end"":18,""text"":""AED "",""labels"":[""CURRENCY""]},{""start"":99,""end"":103,""text"":"" AED"",""labels"":[""CURRENCY""]},{""start"":30,""end"":37,""text"":""debited"",""labels"":[""CREDIT_OR_DEBIT""]},{""start"":56,""end"":64,""text"":""****0535"",""labels"":[""ACCOUNT_NUMBER""]},{""start"":104,""end"":111,""text"":""1167.95"",""labels"":[""BALANCE""]}]",25.18,"Dear Customer AED 4100.00 was debited from your account ****0535. Your available account balance is AED 1167.95","2025-06-26T07:23:00.369832Z"
31,"1","2025-06-26T07:23:28.982725Z",25,"[{""start"":18,""end"":24,""text"":""300.00"",""labels"":[""AMOUNT""]},{""start"":14,""end"":18,""text"":""AED "",""labels"":[""CURRENCY""]},{""start"":29,""end"":37,""text"":""debited "",""labels"":[""CREDIT_OR_DEBIT""]},{""start"":55,""end"":59,""text"":""*535"",""labels"":[""ACCOUNT_NUMBER""]},{""start"":99,""end"":105,""text"":""488.25"",""labels"":[""BALANCE""]},{""start"":95,""end"":99,""text"":""AED "",""labels"":[""CURRENCY""]}]",24.074,"Dear Customer AED 300.00 was debited from your account *535. Your available account balance is AED 488.25","2025-06-26T07:23:28.982752Z"
32,"1","2025-06-26T07:24:00.064409Z",26,"[{""start"":14,""end"":17,""text"":""AED"",""labels"":[""CURRENCY""]},{""start"":18,""end"":25,""text"":""3500.00"",""labels"":[""AMOUNT""]},{""start"":30,""end"":37,""text"":""debited"",""labels"":[""CREDIT_OR_DEBIT""]},{""start"":56,""end"":64,""text"":""****0535"",""labels"":[""ACCOUNT_NUMBER""]},{""start"":100,""end"":103,""text"":""AED"",""labels"":[""CURRENCY""]},{""start"":104,""end"":110,""text"":""380.02"",""labels"":[""BALANCE""]}]",29.361,"Dear Customer AED 3500.00 was debited from your account ****0535. Your available account balance is AED 380.02","2025-06-26T07:24:00.064434Z"
33,"1","2025-06-26T07:24:36.346622Z",27,"[{""start"":18,""end"":23,""text"":""50.00"",""labels"":[""AMOUNT""]},{""start"":14,""end"":17,""text"":""AED"",""labels"":[""CURRENCY""]},{""start"":28,""end"":36,""text"":""debited "",""labels"":[""CREDIT_OR_DEBIT""]},{""start"":54,""end"":63,""text"":""****0535."",""labels"":[""ACCOUNT_NUMBER""]},{""start"":102,""end"":107,""text"":""18.30"",""labels"":[""BALANCE""]},{""start"":98,""end"":101,""text"":""AED"",""labels"":[""CURRENCY""]}]",33.459,"Dear Customer AED 50.00 was debited from your account ****0535. Your available account balance is AED 18.30","2025-06-26T07:24:36.346634Z"
34,"1","2025-06-26T07:24:58.155013Z",28,"[{""start"":51,""end"":59,""text"":""3500.00 "",""labels"":[""AMOUNT""]},{""start"":46,""end"":49,""text"":""AED"",""labels"":[""CURRENCY""]},{""start"":77,""end"":85,""text"":""****0535"",""labels"":[""ACCOUNT_NUMBER""]}]",18.623,"Dear Customer Chq No.047568 has been cleared. AED. 3500.00 deposited to a/c. ****0535","2025-06-26T07:24:58.155033Z"
35,"1","2025-06-26T07:25:19.730495Z",29,"[{""start"":13,""end"":17,""text"":"" AED"",""labels"":[""CURRENCY""]},{""start"":18,""end"":24,""text"":""145.00"",""labels"":[""AMOUNT""]},{""start"":29,""end"":36,""text"":""debited"",""labels"":[""CREDIT_OR_DEBIT""]},{""start"":55,""end"":63,""text"":""****0535"",""labels"":[""ACCOUNT_NUMBER""]},{""start"":102,""end"":109,""text"":"" 538.18"",""labels"":[""BALANCE""]},{""start"":98,""end"":102,""text"":"" AED"",""labels"":[""CURRENCY""]}]",19.49,"Dear Customer AED 145.00 was debited from your account ****0535. Your available account balance is AED 538.18","2025-06-26T07:25:19.730520Z"
36,"1","2025-06-26T07:25:43.323795Z",30,"[{""start"":18,""end"":24,""text"":""100.00"",""labels"":[""AMOUNT""]},{""start"":14,""end"":17,""text"":""AED"",""labels"":[""CURRENCY""]},{""start"":29,""end"":36,""text"":""debited"",""labels"":[""CREDIT_OR_DEBIT""]},{""start"":55,""end"":59,""text"":""*535"",""labels"":[""ACCOUNT_NUMBER""]},{""start"":99,""end"":105,""text"":""980.02"",""labels"":[""BALANCE""]},{""start"":95,""end"":98,""text"":""AED"",""labels"":[""CURRENCY""]}]",21.777,"Dear Customer AED 100.00 was debited from your account *535. Your available account balance is AED 980.02","2025-06-26T07:25:43.323820Z"
37,"1","2025-06-26T07:26:08.678896Z",31,"[{""start"":18,""end"":25,""text"":""100.00 "",""labels"":[""AMOUNT""]},{""start"":14,""end"":17,""text"":""AED"",""labels"":[""CURRENCY""]},{""start"":98,""end"":101,""text"":""AED"",""labels"":[""CURRENCY""]},{""start"":29,""end"":37,""text"":""credited"",""labels"":[""CREDIT_OR_DEBIT""]},{""start"":53,""end"":62,""text"":"" ****0535"",""labels"":[""ACCOUNT_NUMBER""]},{""start"":102,""end"":108,""text"":""100.05"",""labels"":[""BALANCE""]}]",22.902,"Dear Customer AED 100.00 was credited to your account ****0535. Your available account balance is AED 100.05","2025-06-26T07:26:08.678924Z"
38,"1","2025-06-26T07:26:33.979921Z",32,"[{""start"":18,""end"":25,""text"":""2062.76"",""labels"":[""AMOUNT""]},{""start"":14,""end"":17,""text"":""AED"",""labels"":[""CURRENCY""]},{""start"":96,""end"":99,""text"":""AED"",""labels"":[""CURRENCY""]},{""start"":30,""end"":37,""text"":""debited"",""labels"":[""CREDIT_OR_DEBIT""]},{""start"":56,""end"":60,""text"":""*535"",""labels"":[""ACCOUNT_NUMBER""]},{""start"":100,""end"":104,""text"":""0.00"",""labels"":[""BALANCE""]}]",22.996,"Dear Customer AED 2062.76 was debited from your account *535. Your available account balance is AED 0.00","2025-06-26T07:26:33.979942Z"
39,"1","2025-06-26T07:27:11.892396Z",33,"[{""start"":18,""end"":23,""text"":"" 7.54"",""labels"":[""AMOUNT""]},{""start"":14,""end"":18,""text"":"" AED"",""labels"":[""CURRENCY""]},{""start"":24,""end"":32,""text"":""debited "",""labels"":[""CREDIT_OR_DEBIT""]},{""start"":46,""end"":54,""text"":""****0535"",""labels"":[""ACCOUNT_NUMBER""]},{""start"":104,""end"":112,""text"":""18844.11"",""labels"":[""BALANCE""]},{""start"":58,""end"":87,""text"":""Amazon Prime Amzn.com\/bill US"",""labels"":[""LOCATION""]},{""start"":100,""end"":103,""text"":""AED"",""labels"":[""CURRENCY""]}]",35.881,"Transaction of AED 7.54 debited from your a/c ****0535 at Amazon Prime Amzn.com/bill US. Avl Bal is AED 18844.11","2025-06-26T07:27:11.892420Z"
40,"1","2025-06-26T07:27:35.463334Z",34,"[{""start"":18,""end"":23,""text"":""50.00"",""labels"":[""AMOUNT""]},{""start"":14,""end"":17,""text"":""AED"",""labels"":[""CURRENCY""]},{""start"":28,""end"":35,""text"":""debited"",""labels"":[""CREDIT_OR_DEBIT""]},{""start"":54,""end"":58,""text"":""*535"",""labels"":[""ACCOUNT_NUMBER""]},{""start"":98,""end"":104,""text"":""475.82"",""labels"":[""BALANCE""]},{""start"":94,""end"":97,""text"":""AED"",""labels"":[""LOCATION""]}]",21.92,"Dear Customer AED 50.00 was debited from your account *535. Your available account balance is AED 475.82","2025-06-26T07:27:35.463358Z"
41,"1","2025-06-26T07:28:10.139501Z",35,"[{""start"":19,""end"":24,""text"":""38.00"",""labels"":[""AMOUNT""]},{""start"":14,""end"":18,""text"":"" AED"",""labels"":[""CURRENCY""]},{""start"":25,""end"":32,""text"":""debited"",""labels"":[""CREDIT_OR_DEBIT""]},{""start"":47,""end"":55,""text"":""****0535"",""labels"":[""ACCOUNT_NUMBER""]},{""start"":103,""end"":107,""text"":"" AED"",""labels"":[""CURRENCY""]},{""start"":108,""end"":113,""text"":""14.68"",""labels"":[""BALANCE""]},{""start"":58,""end"":91,""text"":"" Zomato Du bai AE"",""labels"":[""LOCATION""]}]",32.979,"Transaction of AED 38.00 debited from your a/c ****0535 at Zomato                 Du bai AE. Avl Bal is AED 14.68","2025-06-26T07:28:10.139528Z"
42,"1","2025-06-26T07:28:47.490131Z",36,"[{""start"":18,""end"":23,""text"":""53.00"",""labels"":[""AMOUNT""]},{""start"":14,""end"":17,""text"":""AED"",""labels"":[""CURRENCY""]},{""start"":28,""end"":36,""text"":""debited "",""labels"":[""CREDIT_OR_DEBIT""]},{""start"":54,""end"":62,""text"":""****0535"",""labels"":[""ACCOUNT_NUMBER""]},{""start"":102,""end"":106,""text"":""0.42"",""labels"":[""BALANCE""]},{""start"":98,""end"":101,""text"":""AED"",""labels"":[""CURRENCY""]}]",25.623,"Dear Customer AED 53.00 was debited from your account ****0535. Your available account balance is AED 0.42","2025-06-26T07:28:47.490155Z"
43,"1","2025-06-26T07:29:09.391856Z",37,"[{""start"":18,""end"":22,""text"":""3.55"",""labels"":[""AMOUNT""]},{""start"":14,""end"":17,""text"":""AED"",""labels"":[""CURRENCY""]},{""start"":96,""end"":100,""text"":"" AED"",""labels"":[""CURRENCY""]},{""start"":27,""end"":34,""text"":""debited"",""labels"":[""CREDIT_OR_DEBIT""]},{""start"":53,""end"":61,""text"":""****0535"",""labels"":[""ACCOUNT_NUMBER""]},{""start"":101,""end"":107,""text"":""118.55"",""labels"":[""BALANCE""]}]",19.116,"Dear Customer AED 3.55 was debited from your account ****0535. Your available account balance is AED 118.55","2025-06-26T07:29:09.391878Z"
44,"1","2025-06-26T07:29:31.620940Z",38,"[{""start"":18,""end"":24,""text"":""610.00"",""labels"":[""AMOUNT""]},{""start"":14,""end"":17,""text"":""AED"",""labels"":[""CURRENCY""]},{""start"":29,""end"":37,""text"":""credited"",""labels"":[""CREDIT_OR_DEBIT""]},{""start"":54,""end"":62,""text"":""****0535"",""labels"":[""ACCOUNT_NUMBER""]},{""start"":102,""end"":109,""text"":""1235.94"",""labels"":[""BALANCE""]},{""start"":98,""end"":101,""text"":""AED"",""labels"":[""CURRENCY""]}]",20.401,"Dear Customer AED 610.00 was credited to your account ****0535. Your available account balance is AED 1235.94","2025-06-26T07:29:31.620965Z"
45,"1","2025-06-26T07:30:09.431094Z",39,"[{""start"":19,""end"":24,""text"":""23.00"",""labels"":[""AMOUNT""]},{""start"":15,""end"":18,""text"":""AED"",""labels"":[""CURRENCY""]},{""start"":25,""end"":33,""text"":""debited "",""labels"":[""CREDIT_OR_DEBIT""]},{""start"":47,""end"":55,""text"":""****0535"",""labels"":[""ACCOUNT_NUMBER""]},{""start"":109,""end"":115,""text"":""346.15"",""labels"":[""BALANCE""]},{""start"":105,""end"":108,""text"":""AED"",""labels"":[""CURRENCY""]},{""start"":59,""end"":92,""text"":""STARBUCKS-ADNOC-D843 ABU DHABI AE"",""labels"":[""LOCATION""]}]",36.087,"Transaction of AED 23.00 debited from your a/c ****0535 at STARBUCKS-ADNOC-D843 ABU DHABI AE. Avl Bal is AED 346.15","2025-06-26T07:30:09.431115Z"
